EXPLAIN
TAG	PWR800_CV
TITLE	LABEL	Test_Gamry_CV	Test &Identifier
DATE	LABEL	10/21/2025	Date
TIME	LABEL	12:54:10	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600	Potentiostat
WORKING	SELECTOR	0	&Working Connection
VINIT	POTEN	0.00000E+000	T	Initial &E (V)
VLIMIT1	POTEN	3.00000E+000	F	Scan Limit &1 (V)
VLIMIT2	POTEN	0.00000E+000	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	T	Final &E (V)
SCANRATE	QUANT	4.99999E+000	&Scan Rate (mV/s)
STEPSIZE	QUANT	1.00000E+000	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	3.00000E+002	&Max Current (mA)
IRCOMP	TOGGLE	F	IR Measure
SEQUENCER	TOGGLE	TRUE	Run as Sequence
DELAY	TWOPARAM	T	1.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
OCVCURVE	TABLE	39
	Pt	T	Vf	Vm	Ach	Over
	#	s	V vs. Ref.	V	V	bits
	0	0.258333	1.92480E-002	1.92480E-002	-2.00276E-004	...........
	1	0.516667	1.92484E-002	1.92697E-002	-2.05676E-004	...........
	2	0.775	1.92510E-002	1.92919E-002	-2.01643E-004	...........
	3	1.03333	1.92584E-002	1.93127E-002	-2.06776E-004	...........
	4	1.29167	1.92717E-002	1.93322E-002	-2.07743E-004	...........
	5	1.55	1.92897E-002	1.93545E-002	-1.97076E-004	...........
	6	1.80833	1.93100E-002	1.93771E-002	-2.03843E-004	...........
	7	2.06667	1.93313E-002	1.93984E-002	-2.12743E-004	...........
	8	2.325	1.93530E-002	1.94217E-002	-2.04010E-004	...........
	9	2.58333	1.93751E-002	1.94460E-002	-2.09910E-004	...........
	10	2.84167	1.93975E-002	1.94651E-002	-2.03643E-004	...........
	11	3.1	1.94199E-002	1.94824E-002	-2.05376E-004	...........
	12	3.35833	1.94416E-002	1.95010E-002	-2.04376E-004	...........
	13	3.61667	1.94621E-002	1.95251E-002	-2.07510E-004	...........
	14	3.875	1.94819E-002	1.95442E-002	-2.05443E-004	...........
	15	4.13333	1.95019E-002	1.95668E-002	-2.04010E-004	...........
	16	4.39167	1.95224E-002	1.95865E-002	-2.05976E-004	...........
	17	4.65	1.95433E-002	1.96114E-002	-2.02343E-004	...........
	18	4.90833	1.95647E-002	1.96323E-002	-2.04710E-004	...........
	19	5.16667	1.95864E-002	1.96510E-002	-2.14376E-004	...........
	20	5.425	1.96080E-002	1.96680E-002	-2.32776E-004	...........
	21	5.68333	1.96289E-002	1.96916E-002	-2.02743E-004	...........
	22	5.94167	1.96491E-002	1.97124E-002	-2.03010E-004	...........
	23	6.2	1.96691E-002	1.97289E-002	-2.08576E-004	...........
	24	6.45833	1.96891E-002	1.97481E-002	-2.11310E-004	...........
	25	6.71667	1.97088E-002	1.97662E-002	-2.06576E-004	...........
	26	6.975	1.97280E-002	1.97899E-002	-2.01176E-004	...........
	27	7.23333	1.97471E-002	1.98086E-002	-2.03810E-004	...........
	28	7.49167	1.97670E-002	1.98399E-002	-2.03210E-004	...........
	29	7.75	1.97881E-002	1.98560E-002	-2.05476E-004	...........
	30	8.00833	1.98104E-002	1.98754E-002	-2.08810E-004	...........
	31	8.26667	1.98327E-002	1.98979E-002	-2.06243E-004	...........
	32	8.525	1.98542E-002	1.99127E-002	-2.09243E-004	...........
	33	8.78333	1.98747E-002	1.99385E-002	-2.16843E-004	...........
	34	9.04167	1.98946E-002	1.99583E-002	-2.12009E-004	...........
	35	9.3	1.99149E-002	1.99845E-002	-2.01943E-004	...........
	36	9.5583	1.99360E-002	1.99944E-002	-2.05943E-004	...........
	37	9.8167	1.99572E-002	2.00232E-002	-2.09443E-004	...........
	38	10.075	1.99778E-002	2.00334E-002	-2.03476E-004	...........
EOC	QUANT	0.0199778	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-07084	Pstat Section
PSTATSERIALNO	LABEL	07084	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	3	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	3	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	11	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	12	Cable ID
DCCALDATE	LABEL	12/4/2020	DC Calibration Date
ACCALDATE	LABEL	12/4/2020	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	54	11	7.53402E-002	1.00345E-001	0.00000E+000	7.40001E-002	-3.05970E-004	11	...........
	55	11.2	7.63368E-002	1.00387E-001	0.00000E+000	7.50002E-002	-2.96561E-004	11	...........
	56	11.4	7.73250E-002	1.00327E-001	0.00000E+000	7.60002E-002	-3.00878E-004	11	...........
	57	11.6	7.83703E-002	1.00414E-001	0.00000E+000	7.70001E-002	-3.11562E-004	11	...........
	58	11.8	7.93556E-002	1.00422E-001	0.00000E+000	7.80002E-002	-3.05820E-004	11	...........
	59	12	8.03605E-002	1.00453E-001	0.00000E+000	7.90001E-002	-2.94944E-004	11	...........
	60	12.2	8.13504E-002	1.00442E-001	0.00000E+000	8.00002E-002	-3.06987E-004	11	...........
	61	12.4	8.23484E-002	1.00528E-001	0.00000E+000	8.10002E-002	-3.15521E-004	11	...........
	62	12.6	8.33546E-002	1.00695E-001	0.00000E+000	8.20001E-002	-3.05112E-004	11	...........
	63	12.8	8.43540E-002	1.00685E-001	0.00000E+000	8.30002E-002	-2.94319E-004	11	...........
	64	13	8.53329E-002	1.00479E-001	0.00000E+000	8.40001E-002	-3.03837E-004	11	...........
	65	13.2	8.63430E-002	1.00680E-001	0.00000E+000	8.50002E-002	-3.11029E-004	11	...........
	66	13.4	8.73399E-002	1.00748E-001	0.00000E+000	8.60002E-002	-3.09195E-004	11	...........
	67	13.6	8.83405E-002	1.00814E-001	0.00000E+000	8.70001E-002	-3.00828E-004	11	...........
	68	13.8	8.93405E-002	1.00821E-001	0.00000E+000	8.80002E-002	-3.07579E-004	11	...........
	69	14	9.03131E-002	1.00756E-001	0.00000E+000	8.90001E-002	-3.31589E-004	11	...........
	70	14.2	9.13249E-002	1.00858E-001	0.00000E+000	9.00002E-002	-3.17721E-004	11	...........
	71	14.4	9.23296E-002	1.00880E-001	0.00000E+000	9.10002E-002	-3.01712E-004	11	...........
	72	14.6	9.32890E-002	1.00882E-001	0.00000E+000	9.20001E-002	-2.98320E-004	11	...........
	73	14.8	9.43293E-002	1.01064E-001	0.00000E+000	9.30002E-002	-3.09862E-004	11	...........
	74	15	9.53034E-002	1.00959E-001	0.00000E+000	9.40001E-002	-3.10395E-004	11	...........
	75	15.2	9.63226E-002	1.00991E-001	0.00000E+000	9.50001E-002	-2.94644E-004	11	...........
	76	15.4	9.73125E-002	1.00946E-001	0.00000E+000	9.60002E-002	-3.01545E-004	11	...........
	77	15.6	9.83144E-002	1.00987E-001	0.00000E+000	9.70001E-002	-3.13946E-004	11	...........
	78	15.8	9.92982E-002	1.00992E-001	0.00000E+000	9.80002E-002	-3.08954E-004	11	...........
	79	16	1.00298E-001	1.01109E-001	0.00000E+000	9.90001E-002	-2.98136E-004	11	...........
	80	16.2	1.01275E-001	1.01095E-001	0.00000E+000	1.00000E-001	-2.95994E-004	11	...........
	81	16.4	1.02314E-001	1.01195E-001	0.00000E+000	1.01000E-001	-3.08387E-004	11	...........
	82	16.6	1.03311E-001	1.01087E-001	0.00000E+000	1.02000E-001	-3.08587E-004	11	...........
	83	16.8	1.04328E-001	1.01159E-001	0.00000E+000	1.03000E-001	-2.93728E-004	11	...........
	84	17	1.05323E-001	1.01128E-001	0.00000E+000	1.04000E-001	-3.00761E-004	11	...........
	85	17.2	1.06310E-001	1.01145E-001	0.00000E+000	1.05000E-001	-3.11737E-004	11	...........
	86	17.4	1.07298E-001	1.01148E-001	0.00000E+000	1.06000E-001	-3.06720E-004	11	...........
	87	17.6	1.08298E-001	1.01196E-001	0.00000E+000	1.07000E-001	-2.95928E-004	11	...........
	88	17.8	1.09287E-001	1.01162E-001	0.00000E+000	1.08000E-001	-2.95553E-004	11	...........
	89	18	1.10299E-001	1.01233E-001	0.00000E+000	1.09000E-001	-3.08987E-004	11	...........
	90	18.2	1.11291E-001	1.01237E-001	0.00000E+000	1.10000E-001	-3.05478E-004	11	...........
	91	18.4	1.12293E-001	1.01254E-001	0.00000E+000	1.11000E-001	-2.93969E-004	11	...........
	92	18.6	1.13290E-001	1.01311E-001	0.00000E+000	1.12000E-001	-2.98070E-004	11	...........
	93	18.8	1.14291E-001	1.01389E-001	0.00000E+000	1.13000E-001	-3.21380E-004	11	...........
	94	19	1.15288E-001	1.01368E-001	0.00000E+000	1.14000E-001	-3.18213E-004	11	...........
	95	19.2	1.16297E-001	1.01401E-001	0.00000E+000	1.15000E-001	-3.05570E-004	11	...........
	96	19.4	1.17261E-001	1.01326E-001	0.00000E+000	1.16000E-001	-2.93661E-004	11	...........
	97	19.6	1.18284E-001	1.01416E-001	0.00000E+000	1.17000E-001	-3.09145E-004	11	...........
	98	19.8	1.19260E-001	1.01464E-001	0.00000E+000	1.18000E-001	-3.10079E-004	11	...........
	99	20	1.20280E-001	1.01565E-001	0.00000E+000	1.19000E-001	-2.97270E-004	11	...........
	100	20.2	1.21267E-001	1.01557E-001	0.00000E+000	1.20000E-001	-2.96361E-004	11	...........
	101	20.4	1.22258E-001	1.01538E-001	0.00000E+000	1.21000E-001	-3.09654E-004	11	...........
	102	20.6	1.23252E-001	1.01502E-001	0.00000E+000	1.22000E-001	-3.10337E-004	11	...........
	103	20.8	1.24261E-001	1.01648E-001	0.00000E+000	1.23000E-001	-2.96111E-004	11	...........
	104	21	1.25244E-001	1.01601E-001	0.00000E+000	1.24000E-001	-2.92053E-004	11	...........
	105	21.2	1.26257E-001	1.01732E-001	0.00000E+000	1.25000E-001	-3.08887E-004	11	...........
	106	21.4	1.27242E-001	1.01685E-001	0.00000E+000	1.26000E-001	-3.06470E-004	11	...........
	107	21.6	1.28284E-001	1.01762E-001	0.00000E+000	1.27000E-001	-2.93803E-004	11	...........
	108	21.8	1.29286E-001	1.01710E-001	0.00000E+000	1.28000E-001	-2.95819E-004	11	...........
	109	22	1.30273E-001	1.01717E-001	0.00000E+000	1.29000E-001	-3.10587E-004	11	...........
	110	22.2	1.31274E-001	1.01742E-001	0.00000E+000	1.30000E-001	-3.07629E-004	11	...........
	111	22.4	1.32268E-001	1.01674E-001	0.00000E+000	1.31000E-001	-2.96986E-004	11	...........
	112	22.6	1.33255E-001	1.01711E-001	0.00000E+000	1.32000E-001	-2.92961E-004	11	...........
	113	22.8	1.34264E-001	1.01820E-001	0.00000E+000	1.33000E-001	-3.09320E-004	11	...........
	114	23	1.35257E-001	1.01764E-001	0.00000E+000	1.34000E-001	-3.09187E-004	11	...........
	115	23.2	1.36263E-001	1.01785E-001	0.00000E+000	1.35000E-001	-2.94394E-004	11	...........
	116	23.4	1.37258E-001	1.01747E-001	0.00000E+000	1.36000E-001	-2.95853E-004	11	...........
	117	23.6	1.38254E-001	1.01860E-001	0.00000E+000	1.37000E-001	-3.13254E-004	11	...........
	118	23.8	1.39252E-001	1.01907E-001	0.00000E+000	1.38000E-001	-3.08454E-004	11	...........
	119	24	1.40252E-001	1.01931E-001	0.00000E+000	1.39000E-001	-3.07029E-004	11	...........
	120	24.2	1.41229E-001	1.01832E-001	0.00000E+000	1.40000E-001	-3.16121E-004	11	...........
	121	24.4	1.42253E-001	1.01895E-001	0.00000E+000	1.41000E-001	-3.22780E-004	11	...........
	122	24.6	1.43235E-001	1.01902E-001	0.00000E+000	1.42000E-001	-3.17013E-004	11	...........
	123	24.8	1.44245E-001	1.01923E-001	0.00000E+000	1.43000E-001	-3.01203E-004	11	...........
	124	25	1.45232E-001	1.01996E-001	0.00000E+000	1.44000E-001	-2.98720E-004	11	...........
	125	25.2	1.46213E-001	1.02042E-001	0.00000E+000	1.45000E-001	-3.12404E-004	11	...........
	126	25.4	1.47229E-001	1.02037E-001	0.00000E+000	1.46000E-001	-3.08529E-004	11	...........
	127	25.6	1.48216E-001	1.02035E-001	0.00000E+000	1.47000E-001	-3.02170E-004	11	...........
	128	25.8	1.49209E-001	1.01982E-001	0.00000E+000	1.48000E-001	-2.91711E-004	11	...........
	129	26	1.50217E-001	1.02105E-001	0.00000E+000	1.49000E-001	-3.07195E-004	11	...........
	130	26.2	1.51211E-001	1.02167E-001	0.00000E+000	1.50000E-001	-3.13129E-004	11	...........
	131	26.4	1.52208E-001	1.02149E-001	0.00000E+000	1.51000E-001	-3.04070E-004	11	...........
	132	26.6	1.53204E-001	1.02108E-001	0.00000E+000	1.52000E-001	-2.95611E-004	11	...........
	133	26.8	1.54218E-001	1.02112E-001	0.00000E+000	1.53000E-001	-3.08095E-004	11	...........
	134	27	1.55237E-001	1.02125E-001	0.00000E+000	1.54000E-001	-3.10295E-004	11	...........
	135	27.2	1.56227E-001	1.02107E-001	0.00000E+000	1.55000E-001	-3.00245E-004	11	...........
	136	27.4	1.57216E-001	1.01992E-001	0.00000E+000	1.56000E-001	-2.91294E-004	11	...........
	137	27.6	1.58225E-001	1.02090E-001	0.00000E+000	1.57000E-001	-3.06304E-004	11	...........
	138	27.8	1.59221E-001	1.02156E-001	0.00000E+000	1.58000E-001	-3.10721E-004	11	...........
	139	28	1.60217E-001	1.02157E-001	0.00000E+000	1.59000E-001	-2.99370E-004	11	...........
	140	28.2	1.61213E-001	1.02136E-001	0.00000E+000	1.60000E-001	-2.94078E-004	11	...........
	141	28.4	1.62204E-001	1.02170E-001	0.00000E+000	1.61000E-001	-3.11846E-004	11	...........
	142	28.6	1.63213E-001	1.02219E-001	0.00000E+000	1.62000E-001	-3.09162E-004	11	...........
	143	28.8	1.64209E-001	1.02266E-001	0.00000E+000	1.63000E-001	-3.06512E-004	11	...........
	144	29	1.65207E-001	1.02238E-001	0.00000E+000	1.64000E-001	-2.99061E-004	11	...........
	145	29.2	1.66209E-001	1.02272E-001	0.00000E+000	1.65000E-001	-3.13804E-004	11	...........
	146	29.4	1.67194E-001	1.02230E-001	0.00000E+000	1.66000E-001	-3.29972E-004	11	...........
	147	29.6	1.68213E-001	1.02343E-001	0.00000E+000	1.67000E-001	-3.09654E-004	11	...........
	148	29.8	1.69203E-001	1.02335E-001	0.00000E+000	1.68000E-001	-2.97595E-004	11	...........
	149	30	1.70163E-001	1.02363E-001	0.00000E+000	1.69000E-001	-3.04053E-004	11	...........
	150	30.2	1.71197E-001	1.02443E-001	0.00000E+000	1.70000E-001	-3.10454E-004	11	...........
	151	30.4	1.72187E-001	1.02511E-001	0.00000E+000	1.71000E-001	-3.02453E-004	11	...........
	152	30.6	1.73186E-001	1.02365E-001	0.00000E+000	1.72000E-001	-2.91027E-004	11	...........
	153	30.8	1.74192E-001	1.02559E-001	0.00000E+000	1.73000E-001	-3.06737E-004	11	...........
